gram,seed_q_prob
790,0.01
654,0.01
226,0.01
984,0.01
782,0.01
078,0.01
927,0.01
725,0.01
395,0.01
411,0.01
472,0.01
455,0.01
608,0.01
139,0.01
614,0.01
067,0.01
297,0.01
925,0.01
384,0.01
778,0.01
094,0.01
085,0.01
998,0.01
453,0.01
457,0.01
146,0.01
045,0.01
304,0.01
137,0.01
465,0.01
867,0.01
075,0.01
308,0.01
392,0.01
777,0.01
452,0.01
221,0.01
212,0.01
153,0.01
399,0.01
113,0.01
649,0.01
104,0.01
197,0.01
239,0.01
556,0.01
274,0.01
834,0.01
591,0.01
963,0.01
679,0.01
198,0.01
254,0.01
373,0.01
407,0.01
892,0.01
539,0.01
883,0.01
673,0.01
028,0.01
086,0.01
952,0.01
134,0.01
806,0.01
613,0.01
688,0.01
713,0.01
584,0.01
804,0.01
792,0.01
678,0.01
024,0.01
110,0.01
629,0.01
597,0.01
550,0.01
008,0.01
473,0.01
149,0.01
258,0.01
785,0.01
619,0.01
167,0.01
158,0.01
238,0.01
314,0.01
901,0.01
506,0.01
581,0.01
426,0.01
015,0.01
207,0.01
877,0.01
717,0.01
044,0.01
387,0.01
282,0.01
532,0.01
242,0.01
419,0.01
