ngram,probability
841,0.047615268178149206
284,0.040437548127510645
328,0.03784223702191415
332,0.03703043171462966
633,0.028128279142606533
763,0.027152195377942806
104,0.02611771247704149
987,0.02497671948904827
498,0.021662829851021113
049,0.021214241878465368
876,0.020147001066827847
007,0.01893782566235332
800,0.017094627296386042
647,0.01673585083052477
264,0.015664951709756157
133,0.015606402052602069
884,0.01480246683591378
113,0.014392407325594398
781,0.014309082356395057
079,0.013138866189887573
195,0.01264930365880715
848,0.011721010744318788
480,0.011484218235858108
410,0.01031430024968468
074,0.009330724094682363
311,0.009093678173549636
203,0.008908077031411131
415,0.00888887928247811
740,0.008834232109964998
810,0.008602046299062808
526,0.008439975767052677
037,0.008307590098342647
952,0.008158796052840648
798,0.008111559064325254
878,0.007680737625148197
119,0.0076229052863272554
488,0.007506231078447591
996,0.007370752288318032
151,0.007340153393625799
372,0.006976202851596244
710,0.006715603291102641
462,0.0066904627399645075
626,0.006490388466265331
187,0.006376917701317014
337,0.006326463635914931
511,0.006177847913393522
371,0.006169652729256105
414,0.0061675434617113195
331,0.006049157071561052
418,0.005869666311927542
722,0.005682200182518585
588,0.005649707930145907
920,0.005644947579006052
046,0.0054789346135855985
573,0.005031896811152462
138,0.004761419998460947
333,0.004653099489947775
068,0.004646344553446994
792,0.004602066180156841
958,0.0045186721610016006
778,0.004487735848700556
406,0.004483252189575224
411,0.00442889702322628
148,0.0044269895683814895
668,0.004338563980528035
985,0.004279045903641577
857,0.004234495601970945
986,0.004212651037239664
290,0.004110070250737702
820,0.003940606146045061
407,0.003743194424274803
305,0.003691911124168704
630,0.003691742896778279
229,0.0036220610370049284
688,0.0035756683775479327
877,0.0035276631124251103
513,0.0035158387095346566
419,0.0034708168051451648
733,0.003437990119136939
380,0.003343420331019872
966,0.0033179480259812755
863,0.003192215507061902
799,0.0031919057835939116
684,0.0031742605780005605
472,0.003122756409770065
731,0.0030370688390797497
682,0.002930024273941969
478,0.0029194041998009345
699,0.0027806739142205174
276,0.002686433765849344
969,0.0026426290274658886
476,0.002546872364960577
160,0.0024604299231115153
413,0.0024595991964489507
417,0.002434075739330973
885,0.0024122966362366423
416,0.002358458093646358
811,0.0023147900727599775
470,0.0022989509569817305
780,0.0022674005498247575
533,0.002221132286347835
728,0.00217711353601315
746,0.0021183761975360335
548,0.002057241702000538
227,0.001988945365163368
734,0.0019889047779135392
347,0.0019888220040130793
812,0.0019809382809540046
236,0.0019424563554072067
598,0.0019359893918054327
073,0.0018975791298962692
900,0.0018432941276190261
475,0.0018316426573115954
479,0.0018265990824584272
149,0.0017974731358823314
176,0.0017702105841355177
361,0.0017567803325622413
707,0.001687728048993482
223,0.0016822844734596756
477,0.0016820834670798633
019,0.0015561096063943301
965,0.0015451751070516264
159,0.0015406170242150926
412,0.001524997461539319
378,0.0014882140114543371
063,0.0014737627192447107
904,0.0013666329197460341
499,0.0013514235996779612
389,0.0012663798614088854
898,0.0012663677727918518
153,0.0012496349554194013
754,0.0012435218959260448
555,0.0012252284187551548
615,0.0012241954201003837
851,0.0012059693194725917
854,0.001191001172783397
606,0.0011669435592011877
464,0.00115306603375997
474,0.0011366349028329294
727,0.0011191816041748854
553,0.0010366588605886966
384,0.0010357719750131974
753,0.0010212623601256253
866,0.0010207564838067718
082,0.0010105203573913964
908,0.001010215331332648
039,0.0010040525308500506
392,0.0010040437802502776
179,0.000941739515670633
122,0.0009187651779522737
601,0.0008895176767044727
538,0.0008842519236770556
724,0.0008752996712946921
655,0.0008714540162821412
546,0.0008174816599131918
473,0.0008124268372564997
055,0.0008117823629365868
048,0.0007854410725987137
532,0.0007618053781365702
651,0.0007545113529094402
209,0.0007416683086514024
126,0.0007355079332030427
275,0.0007316864267001902
773,0.0007220714615127884
422,0.0006912168519853101
817,0.0006717575163864894
818,0.0006661228286749449
242,0.000645369035483094
401,0.0006064465767092845
468,0.0005716544047155395
471,0.0005455083999781986
053,0.000491365207727505
129,0.0004882706361240798
188,0.0004845793118190634
706,0.00047106037019127307
058,0.0004684385230621208
057,0.0004348561851585398
128,0.0004161643562251118
603,0.0004037999457379693
174,0.0003937939611602046
054,0.00038664916053761963
059,0.0003502651097951819
051,0.0003450030365428309
618,0.0003258004193058354
127,0.00030974644926622146
557,0.00030214642852470903
210,0.0002776907517159352
758,0.0002752767813747203
558,0.00026290750733232377
123,0.0002599999815510544
052,0.00024770917585813105
298,0.0002459665305915577
729,0.00024532485385197957
098,0.0002439065249405665
435,0.00023494849101734808
610,0.00020730537893345956
241,0.00020556133948266447
621,0.0002005071681190684
559,0.00019425569260823975
365,0.0001859679362212609
243,0.00017922380070100995
124,0.00015482172518249337
569,0.0001382285329640859
096,0.00013559204382646408
568,0.0001246220535584236
594,0.00012122492250420264
056,0.00011820882081000876
845,0.00011302825071157546
090,0.00010937045033443654
